incident_id,incident_name,organisation,org_type,sector,country,incident_type,attack_vector,threat_actor,threat_actor_type,supply_chain,downstream_orgs_affected,date_occurred,date_discovered,date_disclosed,dwell_time_days,detection_method,records_affected,data_types_exposed,ransom_demanded_usd,ransom_paid,downtime_days,estimated_cost_usd,regulator_notified,severity,is_synthetic,source,notes
SYN-00324,Phishing campaign at Brady-Owen,Brady-Owen,private,Manufacturing,GB,Phishing campaign,Phishing,Unattributed,Ransomware crew,False,,2020-07-24,2020-08-14,2020-08-15,21,Internal detection,649,donation_history|email|name|passport|postal_address|safeguarding_notes|ssn_or_ni_number,245851,undisclosed,0,302981,no,medium,True,synthetic (Faker),
SYN-00802,Ransomware at Adams-Clarke,Adams-Clarke,private,Healthcare,US,Ransomware,Help-desk social engineering,AmberBastion,Ransomware crew,False,,2020-08-17,2020-08-20,2020-08-25,3,Public leak / dark web,344122,bank_details|email|health|internal_email|name|ssn_or_ni_number,10067654,no,23,48993103,yes,high,True,synthetic (Faker),
SYN-00900,Ransomware at Rivers Network,Rivers Network,nonprofit,Charity/Nonprofit,AU,Ransomware,Exposed RDP/VPN,RustVulture,Ransomware crew,False,,2020-08-20,2020-08-21,2020-08-23,1,Routine audit,4224,credentials|credit_card|date_of_birth|donation_history|email|health|postal_address,10475701,no,16,,yes,medium,True,synthetic (Faker),
SYN-00389,Unauthorised access at Montoya PLC,Montoya PLC,private,Financial services,NL,Unauthorised access,Insecure API endpoint,GlassMantis,Ransomware crew,False,,2020-08-07,2020-08-22,2020-08-24,15,Internal detection,319035,credit_card|email|phone,,not_applicable,0,36933023,yes,medium,True,synthetic (Faker),
SYN-00809,Data breach at Hayes Group,Hayes Group,vendor,Nonprofit technology,GB,Data breach,Compromised credentials,NorthQuarry,Ransomware crew,True,800,2020-06-27,2020-08-26,2020-08-27,60,Internal detection,13035140,donation_history|phone|safeguarding_notes,,not_applicable,0,2141719937,yes,high,True,synthetic (Faker),
SYN-00181,Data breach at Stevens Group,Stevens Group,private,Retail,DE,Data breach,Unpatched vulnerability,NineSpindle,Ransomware crew,False,,2020-02-28,2020-09-01,2020-09-02,186,Customer report,239718,email|ssn_or_ni_number,,not_applicable,3,41171653,yes,medium,True,synthetic (Faker),
SYN-00456,Destructive malware at May-Reynolds,May-Reynolds,private,Legal/Professional,GB,Destructive malware,Trojanised software update,Unattributed,Financially motivated,True,59,2020-08-29,2020-09-03,2020-09-08,5,Third-party notification,,not_applicable,1069418,undisclosed,3,510753,no,medium,True,synthetic (Faker),
SYN-00146,Ransomware at Juarez-Gray,Juarez-Gray,private,Hospitality,CA,Ransomware,Third-party supplier access,SlateWarden,Ransomware crew,True,33,2020-09-09,2020-09-10,2020-09-16,1,Third-party notification,138136,employment|phone,33448725,no,11,,no,high,True,synthetic (Faker),
SYN-00516,Data breach at Bennett-Lynch,Bennett-Lynch,private,Retail,AU,Data breach,Third-party supplier access,IronMagpie,Ransomware crew,True,5,2020-07-05,2020-09-10,2020-09-16,67,Public leak / dark web,25535,bank_details|donation_history|health|postal_address,,not_applicable,0,4320467,yes,high,True,synthetic (Faker),
SYN-00336,"DDoS at Estrada, Williams and Foster","Estrada, Williams and Foster",private,Financial services,IE,DDoS,Volumetric flood,NorthQuarry,Ransomware crew,False,,2020-09-06,2020-09-13,2020-09-19,7,Law enforcement notification,,not_applicable,,not_applicable,3,656445,unknown,medium,True,synthetic (Faker),
>>>>>>> 8a74902011229c25354fcb7e063b9152ef665657
SYN-00866,Ransomware at Wilkerson Group,Wilkerson Group,vendor,Nonprofit technology,GB,Ransomware,Unpatched vulnerability,GlassMantis,Ransomware crew,True,1740,2020-09-03,2020-09-14,2020-09-22,11,Internal detection,123298,credentials|phone,544878,no,3,6988035,yes,medium,True,synthetic (Faker),
SYN-00415,"Ransomware at Thompson, Maxwell and Marshall","Thompson, Maxwell and Marshall",private,Manufacturing,GB,Ransomware,Compromised credentials,Unattributed,Ransomware crew,False,,2020-09-14,2020-09-15,2020-10-02,1,Public leak / dark web,4545,bank_details|credentials|name|postal_address|safeguarding_notes|ssn_or_ni_number,646319,no,9,1005748,yes,medium,True,synthetic (Faker),
SYN-00715,Data breach at Rowe and Sons,Rowe and Sons,private,Financial services,IE,Data breach,Phishing,SlateWarden,Nation state,False,,2020-07-06,2020-09-15,2020-09-17,71,Routine audit,257764,health|phone|postal_address|safeguarding_notes,,not_applicable,0,45927030,yes,medium,True,synthetic (Faker),
SYN-00949,Unauthorised access at New Jeanshire Authority,New Jeanshire Authority,public,Education,US,Unauthorised access,Insecure API endpoint,Unattributed,Financially motivated,False,,2020-08-05,2020-09-15,2020-09-17,41,Third-party notification,524077,email|health|passport|phone,,not_applicable,10,25196474,yes,high,True,synthetic (Faker),
<<<<<<< HEAD
SYN-01585,Data breach at Kindling Appeal,Kindling Appeal,nonprofit,Charity/Nonprofit,FR,Data breach,Phishing,PaleHydra,Ransomware crew,False,,2020-04-24,2020-09-16,2020-09-27,145,Public leak / dark web,16836,name|passport|phone|safeguarding_notes,,not_applicable,0,1331018,yes,medium,True,synthetic (Faker),
SYN-01765,Insider incident at George LLC,George LLC,vendor,Software,IN,Insider incident,Malicious insider,Unattributed,Insider,True,455,2020-07-17,2020-09-16,2020-09-30,61,Security vendor / MDR,298169,bank_details|email|employment|name|passport|phone|postal_address,,not_applicable,0,11129841,yes,high,True,synthetic (Faker),
SYN-00027,"Data breach at Valencia, Smith and Le","Valencia, Smith and Le",private,Retail,IN,Data breach,Third-party supplier access,Unattributed,Financially motivated,True,844,2020-07-13,2020-09-21,2020-10-04,70,Public leak / dark web,21661519,credit_card|employment|postal_address|ssn_or_ni_number,,not_applicable,0,2112192677,yes,high,True,synthetic (Faker),
SYN-01121,Ransomware at Jones-Mills,Jones-Mills,private,Retail,GB,Ransomware,Phishing,IronMagpie,Ransomware crew,False,,2020-08-25,2020-09-22,2020-09-28,28,Law enforcement notification,554002,credit_card|date_of_birth|email|health|name|phone|safeguarding_notes,102726,no,12,23978731,yes,high,True,synthetic (Faker),
SYN-01635,Supply chain compromise at Sims and Sons,Sims and Sons,private,Logistics,GB,Supply chain compromise,Third-party supplier access,Unattributed,Ransomware crew,True,102,2020-05-22,2020-09-22,2020-09-30,123,Public leak / dark web,63992,email|internal_email,,not_applicable,0,4806481,no,medium,True,synthetic (Faker),
SYN-00373,Data breach at Larson Inc,Larson Inc,private,Manufacturing,GB,Data breach,Unpatched vulnerability,Unattributed,Unknown,False,,2020-08-29,2020-09-26,2020-10-19,28,Law enforcement notification,2728,bank_details|email|health|name|phone|postal_address|ssn_or_ni_number,,not_applicable,0,436867,yes,medium,True,synthetic (Faker),
SYN-01419,"Ransomware at Richards, Butler and Blackburn","Richards, Butler and Blackburn",private,Legal/Professional,GB,Ransomware,Compromised credentials,DimStag,Ransomware crew,False,,2020-09-26,2020-09-27,2020-10-02,1,Third-party notification,2396,email|passport|postal_address,346107,no,10,1151503,yes,medium,True,synthetic (Faker),
SYN-00088,Data breach at Carr-Taylor,Carr-Taylor,vendor,Software,GB,Data breach,Misconfigured cloud storage,Unattributed,Financially motivated,False,,2020-09-17,2020-10-01,2020-10-07,14,Internal detection,237688,health|internal_email|phone|postal_address|ssn_or_ni_number,,not_applicable,0,,unknown,medium,True,synthetic (Faker),
SYN-00960,Ransomware at Ward PLC,Ward PLC,private,Retail,CA,Ransomware,Compromised credentials,CobaltFinch,Ransomware crew,False,,2020-10-04,2020-10-04,2020-10-10,0,Internal detection,779444,credit_card|email|employment|name|phone|safeguarding_notes,3054845,no,10,66759788,yes,high,True,synthetic (Faker),
SYN-01261,"Data breach at Matthews, Sheppard and Gutierrez","Matthews, Sheppard and Gutierrez",private,Logistics,US,Data breach,Unpatched vulnerability,TinCathedral,Nation state,False,,2020-06-03,2020-10-05,2020-10-08,124,Customer report,1088,bank_details|email|health|name|phone,,not_applicable,0,,yes,medium,True,synthetic (Faker),
=======
SYN-00027,"Data breach at Valencia, Smith and Le","Valencia, Smith and Le",private,Retail,IN,Data breach,Third-party supplier access,Unattributed,Financially motivated,True,844,2020-07-13,2020-09-21,2020-10-04,70,Public leak / dark web,21661519,credit_card|employment|postal_address|ssn_or_ni_number,,not_applicable,0,2112192677,yes,high,True,synthetic (Faker),
SYN-00373,Data breach at Larson Inc,Larson Inc,private,Manufacturing,GB,Data breach,Unpatched vulnerability,Unattributed,Unknown,False,,2020-08-29,2020-09-26,2020-10-19,28,Law enforcement notification,2728,bank_details|email|health|name|phone|postal_address|ssn_or_ni_number,,not_applicable,0,436867,yes,medium,True,synthetic (Faker),
SYN-00088,Data breach at Carr-Taylor,Carr-Taylor,vendor,Software,GB,Data breach,Misconfigured cloud storage,Unattributed,Financially motivated,False,,2020-09-17,2020-10-01,2020-10-07,14,Internal detection,237688,health|internal_email|phone|postal_address|ssn_or_ni_number,,not_applicable,0,,unknown,medium,True,synthetic (Faker),
SYN-00960,Ransomware at Ward PLC,Ward PLC,private,Retail,CA,Ransomware,Compromised credentials,CobaltFinch,Ransomware crew,False,,2020-10-04,2020-10-04,2020-10-10,0,Internal detection,779444,credit_card|email|employment|name|phone|safeguarding_notes,3054845,no,10,66759788,yes,high,True,synthetic (Faker),
>>>>>>> 8a74902011229c25354fcb7e063b9152ef665657
SYN-00100,Ransomware at Sutton-Bates,Sutton-Bates,private,Financial services,US,Ransomware,Help-desk social engineering,Unattributed,Ransomware crew,False,,2020-10-05,2020-10-06,2020-10-26,1,Security vendor / MDR,455964,credit_card|email|employment|name|phone|postal_address,368320,no,5,15620318,yes,medium,True,synthetic (Faker),
SYN-00888,Phishing campaign at Woodmouth Council,Woodmouth Council,public,Education,US,Phishing campaign,Phishing,Unattributed,Financially motivated,False,,2020-09-16,2020-10-07,2020-10-12,21,Internal detection,61270,email|postal_address,,not_applicable,6,7980117,yes,medium,True,synthetic (Faker),
SYN-00424,Data breach at Marshall-Owen,Marshall-Owen,private,Healthcare,FR,Data breach,Insecure API endpoint,Unattributed,Unknown,False,,2020-06-04,2020-10-08,2020-10-21,126,Internal detection,177535,date_of_birth|health|internal_email|name|postal_address|safeguarding_notes,,not_applicable,0,,yes,medium,True,synthetic (Faker),
SYN-00270,Data breach at Rivers Foundation,Rivers Foundation,nonprofit,Charity/Nonprofit,US,Data breach,Credential stuffing,Unattributed,Financially motivated,False,,2020-08-31,2020-10-10,2020-10-15,40,Security vendor / MDR,99472,bank_details|phone|ssn_or_ni_number,,not_applicable,13,,yes,high,True,synthetic (Faker),
<<<<<<< HEAD
SYN-01226,"Ransomware at Smith, Vincent and Rubio","Smith, Vincent and Rubio",private,Healthcare,GB,Ransomware,Phishing,Unattributed,Ransomware crew,False,,2020-10-05,2020-10-10,2020-10-16,5,Internal detection,35147,bank_details|credentials|email|health|name|safeguarding_notes|ssn_or_ni_number,1756055,no,2,4811356,yes,medium,True,synthetic (Faker),
SYN-00378,Data breach at Youth Aid,Youth Aid,nonprofit,Charity/Nonprofit,US,Data breach,Unpatched vulnerability,Unattributed,Financially motivated,False,,2020-09-25,2020-10-12,2020-10-16,17,Third-party notification,665505,date_of_birth|email|internal_email,,not_applicable,4,50924014,yes,medium,True,synthetic (Faker),
SYN-00227,Ransomware at Holland and Sons,Holland and Sons,vendor,Cloud/SaaS,CA,Ransomware,Compromised credentials,Unattributed,Ransomware crew,False,,2020-10-05,2020-10-15,2020-10-28,10,Third-party notification,688610,employment|health|name|phone,170282,yes,7,23723335,no,high,True,synthetic (Faker),
SYN-01222,Data breach at Martin-Howell,Martin-Howell,private,Healthcare,GB,Data breach,Unpatched vulnerability,Unattributed,Unknown,False,,2020-08-10,2020-10-15,2020-10-25,66,Third-party notification,449340,bank_details|email|employment|health|internal_email|name|passport|postal_address,,not_applicable,6,52513892,yes,high,True,synthetic (Faker),
SYN-01189,"Unauthorised access at Bowers, Olson and Wood","Bowers, Olson and Wood",private,Retail,IE,Unauthorised access,Help-desk social engineering,Unattributed,Ransomware crew,False,,2020-07-03,2020-10-16,2020-10-24,105,Internal detection,1184167,phone|postal_address|safeguarding_notes,,not_applicable,0,167570556,yes,high,True,synthetic (Faker),
SYN-01439,Ransomware at Hayes-White,Hayes-White,private,Logistics,GB,Ransomware,Exposed RDP/VPN,IronMagpie,Ransomware crew,False,,2020-10-15,2020-10-17,2020-10-22,2,Internal detection,404,date_of_birth|email|phone|postal_address,11339990,undisclosed,9,660927,unknown,medium,True,synthetic (Faker),
SYN-01936,Supply chain compromise at Smith and Sons,Smith and Sons,private,Healthcare,GB,Supply chain compromise,Trojanised software update,Unattributed,Insider,True,43,2020-08-11,2020-10-17,2020-10-27,67,Third-party notification,5996977,donation_history|health|phone,45152,no,2,181294611,yes,high,True,synthetic (Faker),
SYN-00325,"Data breach at Perez, Patterson and Hoffman","Perez, Patterson and Hoffman",private,Hospitality,US,Data breach,Unpatched vulnerability,VelvetSiphon,Ransomware crew,False,,2020-10-13,2020-10-18,2020-10-24,5,Law enforcement notification,33463,credentials|credit_card|donation_history|name|passport|phone|safeguarding_notes,530520,undisclosed,0,5514361,unknown,medium,True,synthetic (Faker),
SYN-01308,Data breach at Boyer and Sons,Boyer and Sons,vendor,Cloud/SaaS,US,Data breach,Compromised credentials,Unattributed,Financially motivated,True,7090,2020-09-21,2020-10-20,2020-10-21,29,Internal detection,475701,date_of_birth|email|name|postal_address,,not_applicable,0,70874282,yes,medium,True,synthetic (Faker),
SYN-01712,Business email compromise at Rodriguez LLC,Rodriguez LLC,private,Retail,AU,Business email compromise,Phishing,Unattributed,Insider,False,,2020-09-14,2020-10-22,2020-10-30,38,Third-party notification,6080,donation_history|name|phone|postal_address|safeguarding_notes,,not_applicable,0,,yes,medium,True,synthetic (Faker),
SYN-01943,Data breach at Lambert-Anderson,Lambert-Anderson,private,Logistics,IN,Data breach,Phishing,GlassMantis,Nation state,False,,2020-09-18,2020-10-22,2020-10-23,34,Internal detection,726,bank_details|email|employment,,not_applicable,0,302929,yes,medium,True,synthetic (Faker),
SYN-01748,Ransomware at Wellbeing Support,Wellbeing Support,nonprofit,Charity/Nonprofit,US,Ransomware,Unpatched vulnerability,Unattributed,Ransomware crew,False,,2020-10-24,2020-10-24,2020-11-02,0,Customer report,6938,donation_history|email|employment|name|phone|postal_address,1716911,no,7,,yes,medium,True,synthetic (Faker),
SYN-01244,Insider incident at Gonzalez-Marsh,Gonzalez-Marsh,vendor,Cloud/SaaS,DE,Insider incident,Malicious insider,Unattributed,Insider,False,,2020-09-19,2020-10-25,2020-10-30,36,Law enforcement notification,189939,date_of_birth|email|passport|phone|postal_address,,not_applicable,0,16804547,yes,medium,True,synthetic (Faker),
SYN-01474,Ransomware at Morton-Stephenson,Morton-Stephenson,private,Manufacturing,DE,Ransomware,Phishing,AmberBastion,Ransomware crew,False,,2020-10-27,2020-10-27,2020-11-02,0,Law enforcement notification,2665,email|health|name|phone|postal_address|safeguarding_notes,219615,no,2,,yes,medium,True,synthetic (Faker),
SYN-00540,"Ransomware at Iqbal, Parkes and Stevenson","Iqbal, Parkes and Stevenson",private,Healthcare,GB,Ransomware,Exposed RDP/VPN,NorthQuarry,Ransomware crew,False,,2020-11-05,2020-11-05,2020-11-06,0,Customer report,14914,bank_details|credit_card|health|passport|phone|postal_address,192804,no,6,2395918,yes,high,True,synthetic (Faker),
SYN-01362,Unauthorised access at Butler-Parrish,Butler-Parrish,vendor,Nonprofit technology,FR,Unauthorised access,Compromised credentials,Unattributed,Financially motivated,True,148,2020-11-05,2020-11-07,2020-11-30,2,Security vendor / MDR,1962130,bank_details|credentials|credit_card|donation_history|email|internal_email|name|phone,,not_applicable,0,52264509,yes,high,True,synthetic (Faker),
SYN-01972,Business email compromise at South Jonathanbury Authority,South Jonathanbury Authority,public,Local government,GB,Business email compromise,Compromised credentials,Unattributed,Hacktivist,False,,2020-10-12,2020-11-07,2020-11-09,26,Internal detection,,not_applicable,,not_applicable,0,,no,low,True,synthetic (Faker),
SYN-00412,Business email compromise at King-Smith,King-Smith,vendor,Nonprofit technology,US,Business email compromise,Phishing,Unattributed,Insider,False,,2020-10-18,2020-11-08,2020-11-18,21,Internal detection,,not_applicable,,not_applicable,0,151675,no,low,True,synthetic (Faker),
SYN-01551,Ransomware at Turner-Davies,Turner-Davies,private,Healthcare,US,Ransomware,Unpatched vulnerability,Unattributed,Ransomware crew,False,,2020-11-06,2020-11-08,2020-11-15,2,Internal detection,27442,health|name|passport|phone,3202579,undisclosed,7,5272942,yes,high,True,synthetic (Faker),
SYN-01988,Phishing campaign at Cox Group,Cox Group,private,Financial services,FR,Phishing campaign,Phishing,PaleHydra,Ransomware crew,False,,2020-11-04,2020-11-08,2020-11-14,4,Third-party notification,82496,credentials|email|internal_email|name|phone|postal_address|safeguarding_notes,,not_applicable,1,6531406,yes,medium,True,synthetic (Faker),
SYN-00402,"Data breach at Singh, Jenkins and Davison","Singh, Jenkins and Davison",private,Manufacturing,GB,Data breach,Unpatched vulnerability,Unattributed,Nation state,False,,2020-08-13,2020-11-10,2020-11-25,89,Internal detection,4469,credit_card|postal_address,,not_applicable,0,,no,low,True,synthetic (Faker),
SYN-01812,Data breach at Smith Ltd,Smith Ltd,vendor,Nonprofit technology,US,Data breach,Compromised credentials,Unattributed,Financially motivated,True,752,2020-06-21,2020-11-13,2020-11-15,145,Internal detection,24396345,bank_details|employment|name|phone|postal_address,,not_applicable,6,2431732870,yes,critical,True,synthetic (Faker),
=======
SYN-00378,Data breach at Youth Aid,Youth Aid,nonprofit,Charity/Nonprofit,US,Data breach,Unpatched vulnerability,Unattributed,Financially motivated,False,,2020-09-25,2020-10-12,2020-10-16,17,Third-party notification,665505,date_of_birth|email|internal_email,,not_applicable,4,50924014,yes,medium,True,synthetic (Faker),
SYN-00227,Ransomware at Holland and Sons,Holland and Sons,vendor,Cloud/SaaS,CA,Ransomware,Compromised credentials,Unattributed,Ransomware crew,False,,2020-10-05,2020-10-15,2020-10-28,10,Third-party notification,688610,employment|health|name|phone,170282,yes,7,23723335,no,high,True,synthetic (Faker),
SYN-00325,"Data breach at Perez, Patterson and Hoffman","Perez, Patterson and Hoffman",private,Hospitality,US,Data breach,Unpatched vulnerability,VelvetSiphon,Ransomware crew,False,,2020-10-13,2020-10-18,2020-10-24,5,Law enforcement notification,33463,credentials|credit_card|donation_history|name|passport|phone|safeguarding_notes,530520,undisclosed,0,5514361,unknown,medium,True,synthetic (Faker),
SYN-00540,"Ransomware at Iqbal, Parkes and Stevenson","Iqbal, Parkes and Stevenson",private,Healthcare,GB,Ransomware,Exposed RDP/VPN,NorthQuarry,Ransomware crew,False,,2020-11-05,2020-11-05,2020-11-06,0,Customer report,14914,bank_details|credit_card|health|passport|phone|postal_address,192804,no,6,2395918,yes,high,True,synthetic (Faker),
SYN-00412,Business email compromise at King-Smith,King-Smith,vendor,Nonprofit technology,US,Business email compromise,Phishing,Unattributed,Insider,False,,2020-10-18,2020-11-08,2020-11-18,21,Internal detection,,not_applicable,,not_applicable,0,151675,no,low,True,synthetic (Faker),
SYN-00402,"Data breach at Singh, Jenkins and Davison","Singh, Jenkins and Davison",private,Manufacturing,GB,Data breach,Unpatched vulnerability,Unattributed,Nation state,False,,2020-08-13,2020-11-10,2020-11-25,89,Internal detection,4469,credit_card|postal_address,,not_applicable,0,,no,low,True,synthetic (Faker),
>>>>>>> 8a74902011229c25354fcb7e063b9152ef665657
SYN-00726,"Data breach at Brady, Neal and Wiley","Brady, Neal and Wiley",vendor,Cloud/SaaS,GB,Data breach,Credential stuffing,Unattributed,Unknown,True,701,2020-11-01,2020-11-14,2021-01-01,13,Security vendor / MDR,15302203,donation_history|email|employment|internal_email|phone|safeguarding_notes,,not_applicable,0,2086638938,yes,high,True,synthetic (Faker),
SYN-00089,Ransomware at Warren Group,Warren Group,vendor,Nonprofit technology,US,Ransomware,Phishing,VelvetSiphon,Ransomware crew,False,,2020-11-14,2020-11-15,2020-11-18,1,Law enforcement notification,20673,credit_card|donation_history|email|name|passport|phone|postal_address,434205,undisclosed,48,6868238,yes,high,True,synthetic (Faker),
SYN-00068,Insider incident at Stewartland Authority,Stewartland Authority,public,Education,CA,Insider incident,Malicious insider,Unattributed,Insider,False,,2020-04-25,2020-11-16,2020-11-26,205,Internal detection,28194,email|name|phone|postal_address,,not_applicable,0,4515955,yes,medium,True,synthetic (Faker),
SYN-00956,Supply chain compromise at French-Rivera,French-Rivera,private,Manufacturing,GB,Supply chain compromise,Third-party supplier access,Unattributed,Financially motivated,True,10,2020-10-26,2020-11-16,2020-11-22,21,Customer report,2541575,name|postal_address,,not_applicable,0,340680572,unknown,high,True,synthetic (Faker),
<<<<<<< HEAD
SYN-01939,"Insider incident at Harper, Jones and Hawkins","Harper, Jones and Hawkins",vendor,Software,GB,Insider incident,Negligent insider,Unattributed,Insider,True,78,2020-07-18,2020-11-16,2020-11-21,121,Third-party notification,202312,email|name,,not_applicable,1,8590655,unknown,medium,True,synthetic (Faker),
SYN-01726,Ransomware at Montgomery and Sons,Montgomery and Sons,private,Manufacturing,IE,Ransomware,Unpatched vulnerability,AmberBastion,Ransomware crew,False,,2020-11-14,2020-11-18,2020-11-19,4,Customer report,6877,credit_card|health|name|phone|postal_address,297432,yes,8,,yes,medium,True,synthetic (Faker),
SYN-00083,Ransomware at Kelly-Smith,Kelly-Smith,vendor,Nonprofit technology,DE,Ransomware,Compromised credentials,NineSpindle,Ransomware crew,False,,2020-11-20,2020-11-21,2020-11-24,1,Law enforcement notification,7121462,bank_details|donation_history|email|employment|health|name|phone|ssn_or_ni_number,13515,no,9,,yes,high,True,synthetic (Faker),
SYN-01465,Unauthorised access at Harvest Fund,Harvest Fund,nonprofit,Charity/Nonprofit,CA,Unauthorised access,Help-desk social engineering,Unattributed,Insider,False,,2020-10-24,2020-11-21,2020-11-27,28,Law enforcement notification,3980,bank_details|donation_history|internal_email|name|postal_address,,not_applicable,13,917583,yes,medium,True,synthetic (Faker),
SYN-01774,Business email compromise at Guyport District Board,Guyport District Board,public,Education,US,Business email compromise,Phishing,HollowLantern,Ransomware crew,False,,2020-09-20,2020-11-23,2020-11-27,64,Law enforcement notification,,not_applicable,,not_applicable,0,,no,medium,True,synthetic (Faker),
SYN-01455,Business email compromise at Young LLC,Young LLC,vendor,Software,SG,Business email compromise,Phishing,Unattributed,Financially motivated,False,,2020-11-25,2020-11-28,2020-11-30,3,Third-party notification,134915,credit_card|date_of_birth|postal_address,,not_applicable,1,9275617,unknown,medium,True,synthetic (Faker),
SYN-01740,Phishing campaign at Jennings-Richards,Jennings-Richards,private,Retail,US,Phishing campaign,Phishing,Unattributed,Ransomware crew,False,,2020-11-18,2020-11-28,2020-11-30,10,Internal detection,670647,postal_address|ssn_or_ni_number,,not_applicable,0,79892080,yes,medium,True,synthetic (Faker),
SYN-00301,Phishing campaign at Lantern Care,Lantern Care,nonprofit,Charity/Nonprofit,GB,Phishing campaign,Phishing,Unattributed,Unknown,False,,2020-11-04,2020-11-29,2020-11-30,25,Law enforcement notification,11146,bank_details|credentials|date_of_birth|donation_history|name|phone,,not_applicable,1,,yes,medium,True,synthetic (Faker),
SYN-00762,Business email compromise at Smith Inc,Smith Inc,vendor,Software,GB,Business email compromise,MFA fatigue,NineSpindle,Ransomware crew,False,,2020-10-16,2020-11-29,2020-12-04,44,Law enforcement notification,,not_applicable,,not_applicable,4,558762,no,low,True,synthetic (Faker),
SYN-01007,"Unauthorised access at Davis, Briggs and White","Davis, Briggs and White",private,Manufacturing,US,Unauthorised access,Exposed RDP/VPN,SlateWarden,Ransomware crew,False,,2019-04-29,2020-11-29,2020-12-04,580,Third-party notification,439,bank_details|email|employment|name|passport|phone|postal_address,,not_applicable,2,571635,yes,medium,True,synthetic (Faker),
SYN-01366,"Data breach at Cunningham, Murphy and Wolfe","Cunningham, Murphy and Wolfe",vendor,Software,IE,Data breach,Misconfigured cloud storage,SlateWarden,Ransomware crew,False,,2020-10-30,2020-11-29,2020-12-01,30,Third-party notification,973458,credentials|donation_history|email|internal_email|name|postal_address,589968,undisclosed,0,167446994,yes,medium,True,synthetic (Faker),
SYN-00188,Ransomware at Salas PLC,Salas PLC,private,Healthcare,US,Ransomware,Compromised credentials,Unattributed,Ransomware crew,False,,2020-11-27,2020-11-30,2020-12-02,3,Internal detection,2106,email|employment|health|postal_address,1507639,yes,6,,yes,medium,True,synthetic (Faker),
SYN-01511,"Phishing campaign at Sanchez, Jones and Austin","Sanchez, Jones and Austin",private,Retail,US,Phishing campaign,Phishing,NineSpindle,Ransomware crew,False,,2020-11-09,2020-11-30,2020-12-09,21,Law enforcement notification,5206185,donation_history|phone,,not_applicable,6,,yes,high,True,synthetic (Faker),
SYN-00374,"Destructive malware at Bennett, Conner and Li","Bennett, Conner and Li",vendor,Software,DE,Destructive malware,Trojanised software update,Unattributed,Financially motivated,True,65,2020-11-28,2020-12-01,2020-12-07,3,Customer report,298,email|internal_email|name|phone|safeguarding_notes,55531,no,2,322080,unknown,medium,True,synthetic (Faker),
SYN-00660,Data breach at Dannyborough Authority,Dannyborough Authority,public,Energy/Utilities,SG,Data breach,Compromised credentials,Unattributed,Ransomware crew,False,,2020-10-16,2020-12-01,2020-12-06,46,Third-party notification,2370,email|health|name|passport|phone|postal_address,,not_applicable,8,,yes,medium,True,synthetic (Faker),
SYN-01706,Data breach at Brown-Watson,Brown-Watson,private,Healthcare,GB,Data breach,Compromised credentials,Unattributed,Financially motivated,False,,2020-11-13,2020-12-01,2020-12-04,18,Third-party notification,1324,credit_card|employment|health|phone|postal_address,,not_applicable,0,530719,yes,medium,True,synthetic (Faker),
SYN-00719,"Ransomware at Campbell, Ryan and Morris","Campbell, Ryan and Morris",private,Manufacturing,US,Ransomware,Unpatched vulnerability,GlassMantis,Ransomware crew,False,,2020-12-02,2020-12-02,2020-12-08,0,Internal detection,853,donation_history|email|phone|postal_address|ssn_or_ni_number,257304,no,10,823737,yes,medium,True,synthetic (Faker),
SYN-01165,Business email compromise at Thompson and Sons,Thompson and Sons,private,Healthcare,FR,Business email compromise,Phishing,Unattributed,Ransomware crew,False,,2020-11-22,2020-12-02,2020-12-05,10,Security vendor / MDR,,not_applicable,,not_applicable,3,207465,no,medium,True,synthetic (Faker),
SYN-01631,Data breach at Ferguson-Flowers,Ferguson-Flowers,private,Logistics,US,Data breach,Insecure API endpoint,Unattributed,Unknown,False,,2020-07-08,2020-12-03,2020-12-05,148,Customer report,13872,date_of_birth|email|name|passport|postal_address|safeguarding_notes,,not_applicable,0,,yes,medium,True,synthetic (Faker),
SYN-01190,Supply chain compromise at Hinton-Lane,Hinton-Lane,private,Legal/Professional,US,Supply chain compromise,Trojanised software update,QuietFathom,Ransomware crew,True,89,2020-05-21,2020-12-04,2020-12-13,197,Third-party notification,7238287,health|name|passport|phone|postal_address|ssn_or_ni_number,382198,no,0,783363046,yes,high,True,synthetic (Faker),
SYN-01918,"Business email compromise at Edwards, Read and Brooks","Edwards, Read and Brooks",private,Manufacturing,GB,Business email compromise,Phishing,RustVulture,Nation state,False,,2020-08-21,2020-12-05,2020-12-06,106,Third-party notification,,not_applicable,,not_applicable,0,323463,no,low,True,synthetic (Faker),
SYN-00356,"Ransomware at Stewart, Gonzales and Harrison","Stewart, Gonzales and Harrison",private,Retail,US,Ransomware,Exposed RDP/VPN,QuietFathom,Ransomware crew,False,,2020-11-24,2020-12-07,2020-12-31,13,Security vendor / MDR,1599702,bank_details|credit_card|email|employment|name|phone|postal_address,148676,no,1,246578111,yes,high,True,synthetic (Faker),
SYN-00401,Data breach at Brown and Sons,Brown and Sons,private,Retail,US,Data breach,Misconfigured cloud storage,Unattributed,Hacktivist,False,,2020-12-02,2020-12-07,2021-02-01,5,Third-party notification,1326066,bank_details|credit_card|name|passport|postal_address,,not_applicable,5,,yes,high,True,synthetic (Faker),
